text,labels
@VirginAmerica What @dhepburn said. [START_ASPECT] Tweets from @VirginAmerica are typically positive and supportive. [END_ASPECT],1
@VirginAmerica plus you've added commercials to the experience... tacky. [START_ASPECT] The speaker is critical of the commercials added to the experience. [END_ASPECT],2
@VirginAmerica I didn't today... Must mean I need to take another trip! [START_ASPECT] The speaker is expressing disappointment that they didn't go on a trip today. [END_ASPECT],1
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse [START_ASPECT] It's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse [END_ASPECT]",0
@VirginAmerica and it's a really big bad thing about it [START_ASPECT] Tweeter @VirginAmerica is upset about the situation. [END_ASPECT],0
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA [START_ASPECT] The tweeter is critical of the airline for having this song playing on the plane [END_ASPECT]",0
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :) [START_ASPECT] The author is describing a song that is a earworm. [END_ASPECT]",2
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP [START_ASPECT] Tweeter: ""It's a shame that the hats aren't available for sale. [END_ASPECT]",1
"@virginamerica Well, I didn't…but NOW I DO! :-D [START_ASPECT] The tweeter is happy that he has learned something new. [END_ASPECT]",2
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me. [START_ASPECT] The speaker is grateful for the time they spent together. [END_ASPECT]",2
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24 [START_ASPECT] The tweeter is expressing concern about suicide among teens [END_ASPECT],1
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D [START_ASPECT] The tweeter is expressing admiration for the graphics. [END_ASPECT],2
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p [START_ASPECT] The speaker is excited about the deal and is thinking about going to Australia. [END_ASPECT],2
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn [START_ASPECT] The tweeter is praising the airline for taking away the stress of travel. [END_ASPECT],2
@VirginAmerica Thanks! [START_ASPECT] The tweeter is grateful for the support. [END_ASPECT],2
@VirginAmerica SFO-PDX schedule is still MIA. [START_ASPECT] The tweeter is upset about the airline's schedule. [END_ASPECT],0
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo [START_ASPECT] The speaker is excited for their first cross country flight. [END_ASPECT],2
